Doc_Id,Doc_Name,Gender,Specialisation,Email,Ph_No,Experience,Working,Degree,Consultation
1045,"Dr.Alok Varma",M,Orthopedics,alokvarma@gmail.com,9638447737,31,"Dr.Alok Varma Orthopedic Clinic","MBBS,Diploma in Orthopedics",800
1046,"Dr.Sneha Sharma",F,Orthopedics,snehasharma@gmail.com,9347234521,9,"Fit N Fly Physiotherapy & Fitness Centre","MBBS,Diploma in Orthopedics",300
1047,"Dr.Rajiv Patel",M,Orthopedics,rajivpatel@gmail.com,9456378211,27,"Strong Memorial Hospital","MD,Orthopedic",500
1048,"Dr.V K Sahni",F,Orthopedics,sahni@gmail.com,9347496900,39,"Dr.V K Sahni Clinic","MBBS,MS Orthopedics",900
1049,Dr.Neelabh,M,Orthopedics,neelabh@gmail.com,9347932019,28,"BLK-Max Super Speciality Hospital","MBBS,MS Orthopedics",1200
1050,"Dr.Pankaj Bajaj",M,Orthopedics,pankaj@gmail.com,8745012390,27,"IBS Hospital","MBBS,MS Orthopedics",1200
1051,"Dr.Pradeep Kriplani",M,Orthopedics,pradeep@gmail.com,9867093218,18,"IBS Hospital","MBBS,MS Orthopedics",1200
1052,"Dr.Rakesh Kumar",M,Orthopedics,rakesh@gmail.com,7612540382,23,"Jeewan Mala Hospitals","MBBS,MS Orthopedics",800
1053,"Dr.Anil Raheja",M,Orthopedics,anil@gmail.com,872194931126,26,"Jeewan Mala Hospitals","MBBS,MS Orthopedics",800
1054,"Dr.Naveen Talwar",M,Orthopedics,naveen@gmail.com,9765410943,32,"Aashlok Hospital","MBBS,MS Orthopedics",1500
